"Origin","2024/03/02 17:35",135,"GFT 1","Biopic about Pulitzer Prize winner Isabel Wilkerson as she works on her hit book Caste: The Origins of Our Discontent, which was sparked by the killing of unarmed Black teenager Trayvon Martin.

Ava DuVernay’s ambitious biopic explores the genesis of Pulitzer Prize-winner Isabel Wilkerson’s best-selling book Caste: The Origins of Our Discontent. After being asked by her editor (Blair Underwood) to write about the killing of unarmed Black teenager Trayvon Martin by neighbourhood watch volunteer George Zimmerman, Isabel (Aunjanue Ellis-Taylor) becomes inspired to make a deeper investigation into the roots of racial injustice. DuVernay’s complex and intellectually rigorous film guides us through Isabel’s investigations and conclusions and is built around the masterful and heartfelt central performance by Ellis-Taylor. Jon Berthal and Emily Yancy offer strong support as Isabel’s husband and ailing mum. ","Aunjanue Ellis-Taylor, Jon Bernthal, Niecy Nash","Drama","History","Ava DuVernay","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/ze7m4g8ze84ubcaw6q2tcww6xjc8"
"Origin","2024/03/05 13:00",135,"GFT 1","Biopic about Pulitzer Prize winner Isabel Wilkerson as she works on her hit book Caste: The Origins of Our Discontent, which was sparked by the killing of unarmed Black teenager Trayvon Martin.

Ava DuVernay’s ambitious biopic explores the genesis of Pulitzer Prize-winner Isabel Wilkerson’s best-selling book Caste: The Origins of Our Discontent. After being asked by her editor (Blair Underwood) to write about the killing of unarmed Black teenager Trayvon Martin by neighbourhood watch volunteer George Zimmerman, Isabel (Aunjanue Ellis-Taylor) becomes inspired to make a deeper investigation into the roots of racial injustice. DuVernay’s complex and intellectually rigorous film guides us through Isabel’s investigations and conclusions and is built around the masterful and heartfelt central performance by Ellis-Taylor. Jon Berthal and Emily Yancy offer strong support as Isabel’s husband and ailing mum. ","Aunjanue Ellis-Taylor, Jon Bernthal, Niecy Nash","Drama","History","Ava DuVernay","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/ze7m4g8ze84ubcaw6q2tcww6xjc8"
"Pulp Fiction - 35mm Anniversary Screening","2024/03/07 17:50",154,"GFT 1","The paths of two sharp-talking hitmen, their boss and his wife, an ageing boxer and two petty criminals cross and double-cross in Quentin Tarantino’s achingly cool tour-de-force Palme d’Or winner.

Comedy, violence and whip-smart scripting come together in Quentin Tarantino’s Palme d’Or winner. His audacious collection of stories cross and double-cross one another with stone cold style as a pair of hitmen (John Travolta and Samuel L Jackson), their boss (Ving Rhames) and his wife (Uma Thurman), a boxer (Bruce Willis) and two petty criminals (Tim Roth and Amanda Plummer) encounter each other. The tour-de-force plot offers both a literal and figurative adrenaline hit, plus there are unforgettable cameo turns from Harvey Keitel and Christopher Walken, all set to a soundtrack that’s a work of art in its own right.","John Travolta, Uma Thurman, Samuel L Jackson","Crime","Drama, Comedy","Quentin Tarantino ","18","Drug Use, Sexual Assault, Strong physical violence, Blood, Racism / discrimination / slurs","","https://www.youtube.com/watch?v=s7EdQ4FqbhY?si=TDdZZgXxdfYrlhii","https://indy-systems.imgix.net/efzw9xlidxr5atovlkdq6kw4lit0"
"Queen Christina + Recorded Introduction","2024/03/08 15:30",99,"GFT 3","Greta Garbo stars as the cross-dressed 17th century Queen of Sweden who takes pleasure in her status as a bachelor. When she falls for a Spanish envoy (John Gilbert), her allegiance to the nation is questioned. 

Queen Christina is one of Garbo’s most subversive performances. As the infamous Queen of Sweden, Garbo rejects the pressure to produce an heir, sports men’s clothes, and has a female lover. Her declaration, ‘I will die a bachelor!’ has become an iconic moment in the history of queer cinema. Coupled with historical speculation about Garbo’s romantic relationships with both men and women, Queen Christina has a firm place in the queer cinema canon.  

 English and Spanish with English subtitles","Greta Garbo, John Gilbert, Ian Keith","Drama","Romance","Rouben Mamoulian","U","Mild physical violence","What Will The Men Wear","https://www.youtube.com/watch?v=3GrHNCVoYps?si=4tKJ9DpeXmhbM_Ex","https://indy-systems.imgix.net/hfa4w152t19x8crqjtohc6nl2as7"
"Radical","2024/02/29 18:00",125,"Cineworld Screen 2","A teacher uses unconventional methods to inspire his students in a warm-hearted true story that strikes a hopeful note without shying away from the societal struggle faced by many young people. 

Crime, violence and poverty mean a teacher (Eugenio Derbez) faces a tough challenge when he takes on a class full of under-performing 12-year-olds. But the inventive teacher refuses to be beaten. He ditches fact-based learning and adopts unorthodox methods to help unlock the students’ true potential and encourage them to think for themselves. Winner of the Festival Favourite award with audiences at Sundance, Christopher Zalla’s inspirational tale is a celebration of dedication and achievement in the face of adversity.  Zalla handles this moving and uplifting Mexican true story with a light touch, plenty of humour and a lot of heart.

Spanish with English subtitles","Eugenio Derbez, Daniel Haddad, Jennifer Trejo","Drama","","Christopher Zalla","N/C 15+","Violence","","https://www.youtube.com/watch?v=L4DvL0UBZPQ?si=LuAaeacl21SA0YaO","https://indy-systems.imgix.net/lbk48sqgtemj9wajben0gv72hw5n"
"Radical","2024/03/01 15:15",125,"Cineworld Screen 2","A teacher uses unconventional methods to inspire his students in a warm-hearted true story that strikes a hopeful note without shying away from the societal struggle faced by many young people. 

Crime, violence and poverty mean a teacher (Eugenio Derbez) faces a tough challenge when he takes on a class full of under-performing 12-year-olds. But the inventive teacher refuses to be beaten. He ditches fact-based learning and adopts unorthodox methods to help unlock the students’ true potential and encourage them to think for themselves. Winner of the Festival Favourite award with audiences at Sundance, Christopher Zalla’s inspirational tale is a celebration of dedication and achievement in the face of adversity.  Zalla handles this moving and uplifting Mexican true story with a light touch, plenty of humour and a lot of heart.

Spanish with English subtitles","Eugenio Derbez, Daniel Haddad, Jennifer Trejo","Drama","","Christopher Zalla","N/C 15+","Violence","","https://www.youtube.com/watch?v=L4DvL0UBZPQ?si=LuAaeacl21SA0YaO","https://indy-systems.imgix.net/lbk48sqgtemj9wajben0gv72hw5n"
"Ratcatcher 4K","2024/03/10 15:45",94,"GFT 1","Lynne Ramsay’s stunning debut drama about a boy haunted by tragedy, is a beautiful but bleak consideration of impoverished childhood set against the backdrop of Glasgow’s mid-1970s bin strike.

Beauty and decay lie side by side in Lynne Ramsay’s stunning debut, which is set against the backdrop of the mid-1970s Glasgow bin strke. A tragedy in the local canal leaves 12-year-old James (Wiliam Eadie) haunted by his part in it but there’s little room for sentimentality as ma (Mandy Matthews), da (Tommy Flannagan) and sisters struggle to get by. Ramsay, in the spirit of Bill Douglas and Terence Davies, captures the brutality and tough love of life on the breadline while still showing childhood contains moments of unexpected wonder. Gritty and realistic but full of humanity.","Tommy Flanagan, Mandy Matthews, William Eadie","Drama","","Lynne Ramsay","15","Strong Language, Mild nudity, Mild sexual references","","https://www.youtube.com/watch?v=_AOUzSOo5a4?si=jVQE1-R9eYERg-GZ","https://indy-systems.imgix.net/8sw8dg5fswqnjbye5misl1jovbos"
"Restore Point","2024/03/02 20:45",111,"GFT 3","In 2041 an unnatural death doesn’t have to mean the end. When a developer of the technology and his wife are murdered, a detective becomes mired in the case.

Robert Hloz’s stylish sci-fi thriller imagines a near-future world where technological developments mean an unnatural death doesn’t have to mean the end. With echoes of Minority Report and Blade Runner, the action follows Detective Trochinowska (Andrea Mohylová). She is called in to investigate the murders of a developer of the immortalising technology (Matěj Hádek) and his wife, whose life-restoring back-ups have also been erased. Although an anti-restoration terror group River of Life are initially the prime suspects… Torchinowska begins to suspect more sinister corporate forces may be at play and finds herself with investigative help from an unexpected quarter. 

Czech with English subtitles","Andrea Mohylová, Matej Hádek, Milan Ondrík","Sci-Fi","Crime, Drama","Robert Hloz","N/C 15+","Murder, Suicide, Violence, Strong Language/ Swearing, Mild sexual references, Racism/ discrimination/ slurs","Country Focus","https://www.youtube.com/watch?v=2C-qhAfM0es?si=qRl9W7Kx4meUD8qa","https://indy-systems.imgix.net/4fpv1ed6epvhzcoaqpdthxczqg5l"
"Restore Point","2024/03/03 18:00",111,"GFT 3","In 2041 an unnatural death doesn’t have to mean the end. When a developer of the technology and his wife are murdered, a detective becomes mired in the case.

Robert Hloz’s stylish sci-fi thriller imagines a near-future world where technological developments mean an unnatural death doesn’t have to mean the end. With echoes of Minority Report and Blade Runner, the action follows Detective Trochinowska (Andrea Mohylová). She is called in to investigate the murders of a developer of the immortalising technology (Matěj Hádek) and his wife, whose life-restoring back-ups have also been erased. Although an anti-restoration terror group River of Life are initially the prime suspects… Torchinowska begins to suspect more sinister corporate forces may be at play and finds herself with investigative help from an unexpected quarter. 

Czech with English subtitles","Andrea Mohylová, Matej Hádek, Milan Ondrík","Sci-Fi","Crime, Drama","Robert Hloz","N/C 15+","Murder, Suicide, Violence, Strong Language/ Swearing, Mild sexual references, Racism/ discrimination/ slurs","Country Focus","https://www.youtube.com/watch?v=2C-qhAfM0es?si=qRl9W7Kx4meUD8qa","https://indy-systems.imgix.net/4fpv1ed6epvhzcoaqpdthxczqg5l"
"Riddle of Fire","2024/03/08 18:15",113,"Cineworld Screen 2","After a trio of kids make a deal with their mum over a video game they embark on a fantasy journey in search of a speckled egg in this nostalgic charmer.

Alice, Hazel and Jodie (Phoebe Ferro, Charlie Stover and Skyler Peters) are three young kids who get up to a mountain of mischief. But when their plans to play a new video game are thwarted by a parental password, they strike a deal with their sick-in-bed mum that sees them embark on a forest quest for a speckled egg. Writer/director Weston Razooli channels 1970s nostalgia and the spirit of The Goonies and Moonrise Kingdom in this spirited charmer as the kids get themselves into increasingly difficult situations, including taking on a dangerous outfit known as The Enchanted Blade Gang.  ","Lio Tipton, Charles Halford, Danielle Hoetmer","Action","Adventure, Comedy","Weston Razooli","N/C 15+","Comic Violence, Mild Threat, Strong Language/swearing","","https://www.youtube.com/watch?v=1WrFb48NAus?si=oaBZPdfn_F5S0uQe","https://indy-systems.imgix.net/wokpw2ain081u9esy40amjpa9hlr"
